Number,Word,Pronunciation,Definition,Sentence
1,abandon,uh-BAN-dun,verb: to leave completely and finally,She decided to abandon her old habits and start fresh.
2,abandonment,uh-BAN-dun-munt,noun: the act of abandoning,The abandonment of the project was a tough decision.
3,abbreviated,uh-BREE-vee-ay-tid,adjective: shortened,The meeting was abbreviated due to time constraints.
4,abbreviation,uh-BREE-vee-ay-shun,noun: a shortened form of a word or phrase,The abbreviation 'Dr.' stands for 'Doctor'.
5,abhor,ab-HOR,verb: to regard with extreme repugnance,She abhors violence in any form.
6,abhorred,ab-HOR-d,verb: past tense of abhor,He abhorred the idea of cheating.
7,able-bodied,AY-bul-BOD-eed,"adjective: having a strong, healthy body",The able-bodied athletes competed fiercely.
8,abloom,uh-BLOOM,adjective: in bloom,The garden was abloom with colorful flowers.
9,abominable,uh-BOM-in-uh-bul,adjective: very bad or unpleasant,The weather was abominable during their trip.
10,abominably,uh-BOM-in-uh-blee,adverb: in an abominable manner,He behaved abominably at the party.
11,Abraham,AY-bruh-ham,noun: a biblical patriarch,Abraham is a significant figure in religious history.
12,abrasion,uh-BRAY-zhun,noun: a scraped spot or area,She suffered an abrasion on her knee.
13,abscess,AB-ses,noun: a localized collection of pus,The doctor treated the abscess promptly.
14,abscessed,AB-ses-d,adjective: affected by an abscess,The abscessed tooth caused him great pain.
15,absorbability,ab-SOR-buh-BIL-i-tee,noun: the ability to absorb,The absorbability of the material was impressive.
16,abstinent,AB-stuh-nunt,adjective: refraining from indulgence,He remained abstinent from alcohol.
17,abstract,AB-strakt,adjective: existing in thought or as an idea,The abstract concept was difficult to grasp.
18,abutment,uh-BUT-munt,noun: a structure built to support the lateral pressure,The bridge's abutment was reinforced.
19,abutted,uh-BUT-id,verb: past tense of abut,The property abutted the river.
20,accelerate,ak-SEL-uh-rayt,verb: to cause faster or greater activity,The car began to accelerate rapidly.
21,accessible,ak-SES-uh-bul,adjective: easy to approach or use,The building is accessible to everyone.
22,accession,ak-SESH-un,noun: the act of coming into possession of a right,The accession of the new king was celebrated.
23,accommodating,uh-KOM-uh-day-ting,adjective: willing to help or do favors,She was very accommodating to her guests.
24,accommodation,uh-KOM-uh-DAY-shun,noun: a place to stay or live,The hotel provided excellent accommodation.
25,accost,uh-KOST,verb: to approach and speak to boldly,He was accosted by a stranger on the street.
26,accouchement,uh-KOOSH-munt,noun: the act of giving birth,The accouchement was handled by skilled doctors.
27,accumulation,uh-KYOO-myoo-LAY-shun,noun: the act of accumulating,The accumulation of wealth took years.
28,accuracy,AK-yuh-ruh-see,noun: the condition of being accurate,The accuracy of the report was verified.
29,acetone,AS-uh-tohn,noun: a volatile solvent,Acetone is commonly used in nail polish remover.
30,acetylene,uh-SET-uh-leen,noun: a colorless gas used in welding,Acetylene torches are used for cutting metal.
31,acidity,uh-SID-i-tee,noun: the quality of being acidic,The acidity of the lemon was intense.
32,acidosis,as-i-DOH-sis,noun: an excessively acid condition of the body fluids,Acidosis can be a serious medical condition.
33,acquiescent,ak-wee-ES-unt,adjective: willing to accept something without protest,She was acquiescent to the changes.
34,acquiescing,ak-wee-ES-ing,verb: present participle of acquiesce,He is acquiescing to the new rules.
35,acrobat,AK-ruh-bat,noun: a performer of gymnastic feats,The acrobat amazed the audience with his stunts.
36,acrobatics,ak-ruh-BAT-iks,noun: the performance of extraordinary feats of balance,Acrobatics require strength and flexibility.
37,actuality,ak-choo-AL-i-tee,noun: the state of being actual,The actuality of the situation was surprising.
38,actually,AK-choo-uh-lee,adverb: in fact,She actually completed the marathon.
39,adagio,uh-DAH-zhee-oh,noun: a musical tempo,The adagio movement was beautifully played.
40,adamant,AD-uh-munt,adjective: unyielding in attitude or opinion,He was adamant about his decision.
41,addled,AD-uld,adjective: confused,Her addled brain struggled to focus.
42,address,uh-DRES,noun: the location of a place,Please send the package to my new address.
43,adequately,AD-i-kwut-lee,adverb: in a manner that is sufficient,She was adequately prepared for the exam.
44,adhere,ad-HEER,verb: to stick to something,The glue will adhere to the surface.
45,adjourn,uh-JURN,verb: to suspend a meeting to a future time,The meeting was adjourned until next week.
46,adjournment,uh-JURN-munt,noun: the act of adjourning,The adjournment was announced by the chairperson.
47,adjustment,uh-JUST-munt,noun: the act of adjusting,The adjustment to the plan was necessary.
48,adjutant,AJ-uh-tunt,noun: a military officer who acts as an administrative assistant,The adjutant organized the troops.
49,admissibility,ad-MIS-uh-BIL-i-tee,noun: the quality of being admissible,The admissibility of the evidence was questioned.
50,admissible,ad-MIS-uh-bul,adjective: capable of being admitted,The document was admissible in court.
51,adoption,uh-DOP-shun,noun: the act of adopting,The adoption of the new policy was swift.
52,adoptive,uh-DOP-tiv,adjective: related by adoption,Her adoptive parents were very supportive.
53,adulate,AJ-uh-layt,verb: to praise excessively,He tends to adulate his favorite celebrities.
54,adulation,aj-uh-LAY-shun,noun: excessive praise,The adulation from the fans was overwhelming.
55,advancement,ad-VANS-munt,noun: the act of moving forward,Her advancement in the company was well-deserved.
56,advancing,ad-VANS-ing,verb: present participle of advance,He is advancing his career through hard work.
57,advertent,ad-VUR-tunt,adjective: attentive,She was advertent to the details.
58,advertise,AD-vur-tize,verb: to promote goods or services,They advertise their products on social media.
59,aegis,EE-jis,noun: protection,"Under the aegis of the organization, they felt safe."
60,aerate,AIR-ayt,verb: to expose to air,The gardener will aerate the soil.
61,affability,af-uh-BIL-i-tee,noun: the quality of being affable,Her affability made her popular.
62,affable,AF-uh-bul,adjective: friendly,He is an affable host.
63,affirmation,af-ur-MAY-shun,noun: the act of affirming,The affirmation of her beliefs was strong.
64,affirmative,af-UR-muh-tiv,adjective: agreeing with a statement,She gave an affirmative response.
65,afloat,uh-FLOHT,adjective: floating,The boat remained afloat despite the waves.
66,aflutter,uh-FLUH-tur,adjective: fluttering,Her heart was aflutter with excitement.
67,against,uh-GENST,preposition: in opposition to,She stood against the unfair policy.
68,agape,uh-GAYP,adjective: wide open,His mouth was agape in surprise.
69,aggregate,AG-ri-git,noun: a whole formed by combining several elements,The aggregate of data was analyzed.
70,aggregately,AG-ri-git-lee,adverb: in an aggregate manner,The results were aggregately positive.
71,agitation,aj-i-TAY-shun,noun: the act of agitating,His agitation was evident during the debate.
72,agitator,AJ-i-tay-tur,noun: a person who stirs up others,The agitator led the protest.
73,agriculture,AG-ri-kul-chur,noun: the science of farming,Agriculture is vital to the economy.
74,agronomic,ag-ruh-NOM-ik,adjective: related to agriculture,The agronomic practices improved crop yield.
75,air force,AIR fors,noun: a branch of the military that operates aircraft,He joined the air force after graduation.
76,airlift,AIR-lift,noun: the transportation of goods or people by air,The airlift provided essential supplies.
77,air-minded,AIR-mind-id,adjective: interested in aviation,She is very air-minded and loves flying.
78,airplane,AIR-playn,noun: a powered flying vehicle,The airplane took off smoothly.
79,alabaster,AL-uh-bas-tur,"noun: a fine-grained, translucent form of gypsum",The statue was made of alabaster.
80,alacrity,uh-LAK-ri-tee,noun: cheerful readiness,She accepted the invitation with alacrity.
81,alcazar,AL-kuh-zar,noun: a Spanish palace or fortress,The alcazar was a historical landmark.
82,alchemist,AL-kuh-mist,noun: a person who practices alchemy,The alchemist sought to turn lead into gold.
83,algae,AL-jee,noun: simple nonflowering plants,The pond was covered in green algae.
84,algebra,AL-juh-bruh,noun: a branch of mathematics,She excelled in algebra class.
85,alignment,uh-LYN-munt,noun: arrangement in a straight line,The alignment of the planets was fascinating.
86,aliment,AL-i-munt,noun: nourishment,Proper aliment is essential for health.
87,all-around,AWL-uh-round,adjective: versatile,He is an all-around athlete.
88,allay,uh-LAY,verb: to lessen,She tried to allay his fears.
89,allergen,AL-ur-jun,noun: a substance that causes an allergic reaction,Pollen is a common allergen.
90,allergic,uh-LUR-jik,adjective: having an allergy,She is allergic to peanuts.
91,allium,AL-ee-um,noun: a genus of flowering plants,Allium flowers are beautiful.
92,allocate,AL-uh-kayt,verb: to distribute,They allocate resources efficiently.
93,allusion,uh-LOO-zhun,noun: an indirect reference,The book contains many literary allusions.
94,allusive,uh-LOO-siv,adjective: containing allusions,His speech was allusive and poetic.
95,alphabetize,AL-fuh-buh-tize,verb: to arrange in alphabetical order,Please alphabetize the list.
96,alphanumeric,AL-fuh-noo-MER-ik,adjective: consisting of letters and numbers,The code is alphanumeric.
97,alternative,awl-TUR-nuh-tiv,noun: a choice between two or more options,She considered the alternative solutions.
98,although,awl-THOH,conjunction: in spite of the fact that,"Although it was raining, they went for a walk."
99,amalgamation,uh-mal-guh-MAY-shun,noun: the action of combining,The amalgamation of the companies was successful.
100,amanuensis,uh-man-yoo-EN-sis,noun: a literary or artistic assistant,The author dictated his novel to his amanuensis.
101,ambergris,AM-ber-gris,"A waxy substance originating from the intestines of sperm whales, used in perfumes. (noun)",The perfumer used ambergris to create a unique fragrance.
102,ambidexterity,am-bi-DEX-ter-i-ty,The ability to use both hands equally well. (noun),Her ambidexterity allowed her to write with both hands effortlessly.
103,ambulate,AM-bu-late,To walk or move about. (verb),He ambulate through the park every morning for exercise.
104,ambulation,am-bu-LA-tion,The act of walking or moving about. (noun),The patient's ambulation improved significantly after physical therapy.
105,amendment,a-MEND-ment,"A change or addition designed to improve a text, piece of legislation, etc. (noun)",The amendment to the constitution was passed unanimously.
106,amenity,a-MEN-i-ty,A desirable or useful feature or facility of a building or place. (noun),The hotel offers every amenity you could wish for during your stay.
107,amice,AM-ice,A liturgical vestment worn by clergy. (noun),The priest wore an amice during the ceremony.
108,amidships,a-MID-ships,In or toward the middle of a ship. (adverb),The cargo was stored amidships to balance the vessel.
109,amole,a-MOLE,A plant used as a soap substitute. (noun),The indigenous people used amole as a natural soap.
110,amoral,a-MOR-al,Lacking a moral sense; unconcerned with the rightness or wrongness of something. (adjective),His amoral behavior shocked everyone at the meeting.
111,amphibian,am-FIB-ee-an,"noun: a cold-blooded vertebrate animal of a class that comprises the frogs, toads, newts, and salamanders.",The frog is an amphibian that can live both in water and on land.
112,amphibious,am-FIB-ee-us,"adjective: relating to, living in, or suited for both land and water.",The military conducted an amphibious operation to secure the beach.
113,amused,a-MUSED,adjective: finding something funny or entertaining.,She was amused by the comedian's witty jokes.
114,amusement,a-MUSE-ment,noun: the state or experience of finding something funny or entertaining.,The amusement park was filled with thrilling rides and attractions.
115,analogy,a-NAL-o-gy,"noun: a comparison between two things, typically for the purpose of explanation or clarification.",The teacher used an analogy to explain the complex concept.
116,analysis,a-NAL-y-sis,noun: detailed examination of the elements or structure of something.,The scientist's analysis of the data revealed important findings.
117,anathematize,a-NATH-e-ma-tize,verb: to curse or condemn.,The critics anathematize the unethical practices of the company.
118,anatomical,an-a-TOM-i-cal,adjective: relating to the structure of the body.,The anatomical model helped students understand human physiology.
119,anecdote,AN-ec-dote,noun: a short and amusing or interesting story about a real incident or person.,He shared an anecdote about his childhood adventures.
120,anemia,a-NEE-mia,noun: a condition marked by a deficiency of red blood cells or hemoglobin in the blood.,She was diagnosed with anemia and prescribed iron supplements.
121,angina pectoris,an-JI-na PEC-to-ris,noun: chest pain caused by reduced blood flow to the heart.,He experienced angina pectoris after strenuous exercise.
122,angle,AN-gle,noun: the space between two intersecting lines or surfaces at or close to the point where they meet.,The carpenter measured the angle to ensure the pieces fit perfectly.
123,anguished,ANG-wished,adjective: experiencing or expressing severe mental or physical pain or suffering.,She felt anguished after hearing the tragic news.
124,angular,ANG-u-lar,adjective: having angles or sharp corners.,The modern sculpture had an angular design.
125,animation,an-i-MA-tion,noun: the technique of photographing successive drawings or positions of models to create an illusion of movement.,The animation in the movie brought the characters to life.
126,animosity,an-i-MOS-i-ty,noun: strong hostility.,There was animosity between the rival teams.
127,annihilation,an-ni-hi-LA-tion,noun: complete destruction or obliteration.,The war led to the annihilation of several cities.
128,annihilator,an-NI-hi-la-tor,noun: a person or thing that completely destroys something.,The superhero acted as an annihilator of evil.
129,annuitant,an-NUI-tant,noun: a person who receives an annuity.,The annuitant was pleased with the steady income from the investment.
130,annuity,an-NUI-ty,"noun: a fixed sum of money paid to someone each year, typically for the rest of their life.",She invested in an annuity to secure her retirement.
131,anomalous,a-NOM-a-lous,"adjective: deviating from what is standard, normal, or expected.",The scientist observed anomalous results in the experiment.
132,antarctic,an-TARC-tic,adjective: relating to the south polar region or Antarctica.,The expedition team prepared for the harsh antarctic conditions.
133,Antarctica,an-TARC-ti-ca,"noun: the southernmost continent, containing the South Pole.",Antarctica is known for its extreme cold and ice-covered landscape.
134,anthem,AN-them,"noun: a rousing or uplifting song identified with a particular group, body, or cause.",The national anthem was sung with pride at the ceremony.
135,anther,AN-ther,noun: the part of a stamen that contains the pollen.,The bee collected pollen from the anther of the flower.
136,anticipate,an-TIC-i-pate,verb: to expect or predict.,She could anticipate the outcome of the experiment.
137,anticipating,an-TIC-i-pa-ting,verb: expecting or predicting.,The students were eagerly anticipating the field trip.
138,antipathy,an-TIP-a-thy,noun: a deep-seated feeling of dislike.,There was clear antipathy between the opposing political parties.
139,antiphon,AN-ti-phon,noun: a short sentence sung or recited before or after a psalm or canticle.,The choir sang the antiphon beautifully.
140,antiseptic,an-ti-SEP-tic,noun: a substance that prevents the growth of disease-causing microorganisms.,The nurse applied an antiseptic to the wound.
141,antisocial,an-ti-SO-cial,adjective: not sociable; not wanting the company of others.,He felt antisocial and preferred to stay home.
142,anyhow,AN-y-how,adverb: in any case; anyway.,She decided to go to the party anyhow.
143,anyone,AN-y-one,pronoun: any person or people.,Anyone can participate in the competition.
144,apathy,AP-a-thy,"noun: lack of interest, enthusiasm, or concern.",The student's apathy towards the subject was evident.
